technology,region,energy_system_scenario,freight_demand_scenario,year,number_of_locomotives,number_of_powertrains,number_of_tender_cars,number_of_freight_cars,cost_per_locomotive ($),cost_per_powertrain ($),cost_per_tender_car ($),cost_per_freight_car ($),train_O&M_cost ($/year)
diesel,north_east,business_as_usual,business_as_usual,2025,3241,3241,0,198964,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,business_as_usual,business_as_usual,2025,3188,3188,0,201044,3500000,320000,0,125000,6500000000
diesel,south_east,business_as_usual,business_as_usual,2025,2643,2643,0,202385,3500000,320000,0,125000,6500000000
diesel,north_central,business_as_usual,business_as_usual,2025,2194,2194,0,165731,3500000,320000,0,125000,6500000000
diesel,central,business_as_usual,business_as_usual,2025,2937,2937,0,211128,3500000,320000,0,125000,6500000000
diesel,texas,business_as_usual,business_as_usual,2025,2979,2979,0,165696,3500000,320000,0,125000,6500000000
diesel,north_west,business_as_usual,business_as_usual,2025,3073,3073,0,184820,3500000,320000,0,125000,6500000000
diesel,south_west,business_as_usual,business_as_usual,2025,3179,3179,0,179686,3500000,320000,0,125000,6500000000
diesel,california,business_as_usual,business_as_usual,2025,3020,3020,0,151280,3500000,320000,0,125000,6500000000
diesel,north_east,business_as_usual,agricultual_production_shift,2025,2356,2356,0,209214,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,2474,2474,0,189019,3500000,320000,0,125000,6500000000
diesel,south_east,business_as_usual,agricultual_production_shift,2025,2524,2524,0,199631,3500000,320000,0,125000,6500000000
diesel,north_central,business_as_usual,agricultual_production_shift,2025,2322,2322,0,180844,3500000,320000,0,125000,6500000000
diesel,central,business_as_usual,agricultual_production_shift,2025,2552,2552,0,191413,3500000,320000,0,125000,6500000000
diesel,texas,business_as_usual,agricultual_production_shift,2025,3094,3094,0,188536,3500000,320000,0,125000,6500000000
diesel,north_west,business_as_usual,agricultual_production_shift,2025,2315,2315,0,220663,3500000,320000,0,125000,6500000000
diesel,south_west,business_as_usual,agricultual_production_shift,2025,3035,3035,0,198248,3500000,320000,0,125000,6500000000
diesel,california,business_as_usual,agricultual_production_shift,2025,2526,2526,0,168827,3500000,320000,0,125000,6500000000
diesel,north_east,business_as_usual,decrease_agricultual_production,2025,2264,2264,0,192114,3500000,320000,0,125000,6500000000
diesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,3147,3147,0,221968,3500000,320000,0,125000,6500000000
