technology,region,energy_system_scenario,freight_demand_scenario,year,energy_consumption,energy_unit,upstream_CO2_emission_factor,downstream_CO2_emission_factor,CO2_emission_factor_unit,upstream_CH4_emission_factor,downstream_CH4_emission_factor,CH4_emission_factor_unit
diesel,north_east,business_as_usual,business_as_usual,2025,423297794,gallon,1.342,10.9994,kgCO2/gallon,0.01328522,0.000992586,kgCH4/gallon
diesel,middle_atlantic,business_as_usual,business_as_usual,2025,418551370,gallon,1.361,8.7506,kgCO2/gallon,0.0130031,0.000742172,kgCH4/gallon
diesel,south_east,business_as_usual,business_as_usual,2025,443117856,gallon,1.331,8.4669,kgCO2/gallon,0.01450882,0.000959472,kgCH4/gallon
diesel,north_central,business_as_usual,business_as_usual,2025,393368333,gallon,1.705,8.5194,kgCO2/gallon,0.01356289,0.000793753,kgCH4/gallon
diesel,central,business_as_usual,business_as_usual,2025,359308812,gallon,1.391,11.3477,kgCO2/gallon,0.01358435,0.000827824,kgCH4/gallon
diesel,texas,business_as_usual,business_as_usual,2025,372358702,gallon,1.333,9.4956,kgCO2/gallon,0.01145932,0.000909551,kgCH4/gallon
diesel,north_west,business_as_usual,business_as_usual,2025,342369942,gallon,1.558,10.4765,kgCO2/gallon,0.01333145,0.000919213,kgCH4/gallon
diesel,south_west,business_as_usual,business_as_usual,2025,351496905,gallon,1.955,8.9973,kgCO2/gallon,0.01169799,0.000723642,kgCH4/gallon
diesel,california,business_as_usual,business_as_usual,2025,323293933,gallon,1.931,8.7565,kgCO2/gallon,0.01483722,0.000773719,kgCH4/gallon
diesel,north_east,business_as_usual,agricultual_production_shift,2025,314793661,gallon,1.632,11.1339,kgCO2/gallon,0.01533846,0.000810019,kgCH4/gallon
diesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,341047958,gallon,1.83,11.124,kgCO2/gallon,0.01177874,0.000831219,kgCH4/gallon
diesel,south_east,business_as_usual,agricultual_production_shift,2025,390450947,gallon,1.434,8.5684,kgCO2/gallon,0.01616008,0.000747466,kgCH4/gallon
diesel,north_central,business_as_usual,agricultual_production_shift,2025,389538551,gallon,1.583,9.0735,kgCO2/gallon,0.01360448,0.000809177,kgCH4/gallon
diesel,central,business_as_usual,agricultual_production_shift,2025,325606462,gallon,1.795,10.5472,kgCO2/gallon,0.01445801,0.000926759,kgCH4/gallon
diesel,texas,business_as_usual,agricultual_production_shift,2025,398918189,gallon,1.353,10.7593,kgCO2/gallon,0.01171621,0.000734911,kgCH4/gallon
diesel,north_west,business_as_usual,agricultual_production_shift,2025,401744207,gallon,1.933,9.3478,kgCO2/gallon,0.0130029,0.000707843,kgCH4/gallon
diesel,south_west,business_as_usual,agricultual_production_shift,2025,433992525,gallon,1.769,8.6417,kgCO2/gallon,0.01153693,0.00094396,kgCH4/gallon
diesel,california,business_as_usual,agricultual_production_shift,2025,438993849,gallon,1.616,9.477,kgCO2/gallon,0.01336119,0.000773791,kgCH4/gallon
diesel,north_east,business_as_usual,decrease_agricultual_production,2025,345351824,gallon,1.625,10.9018,kgCO2/gallon,0.01642268,0.000738589,kgCH4/gallon
diesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,415661781,gallon,1.399,10.692,kgCO2/gallon,0.01477013,0.000957096,kgCH4/gallon
diesel,south_east,business_as_usual,decrease_agricultual_production,2025,326463463,gallon,1.408,8.3336,kgCO2/gallon,0.0141901,0.001020918,kgCH4/gallon
diesel,north_central,business_as_usual,decrease_agricultual_production,2025,306393622,gallon,1.879,8.2039,kgCO2/gallon,0.01196555,0.000919842,kgCH4/gallon
diesel,central,business_as_usual,decrease_agricultual_production,2025,435141831,gallon,1.31,8.4586,kgCO2/gallon,0.01171367,0.000861446,kgCH4/gallon
diesel,texas,business_as_usual,decrease_agricultual_production,2025,391680866,gallon,1.93,11.1411,kgCO2/gallon,0.01584653,0.000920672,kgCH4/gallon
diesel,north_west,business_as_usual,decrease_agricultual_production,2025,409246213,gallon,1.343,8.3082,kgCO2/gallon,0.01595364,0.001019348,kgCH4/gallon
diesel,south_west,business_as_usual,decrease_agricultual_production,2025,451007340,gallon,1.797,11.1445,kgCO2/gallon,0.0167649,0.000894516,kgCH4/gallon
diesel,california,business_as_usual,decrease_agricultual_production,2025,342087264,gallon,1.829,10.8664,kgCO2/gallon,0.01237223,0.000791477,kgCH4/gallon
diesel,north_east,business_as_usual,population_shift,2025,386194029,gallon,1.385,11.9905,kgCO2/gallon,0.01380738,0.000914522,kgCH4/gallon
diesel,middle_atlantic,business_as_usual,population_shift,2025,372160680,gallon,1.469,8.3684,kgCO2/gallon,0.01172368,0.001009945,kgCH4/gallon
diesel,south_east,business_as_usual,population_shift,2025,392951575,gallon,1.944,11.9973,kgCO2/gallon,0.01527673,0.000991409,kgCH4/gallon
diesel,north_central,business_as_usual,population_shift,2025,383031708,gallon,1.457,10.6948,kgCO2/gallon,0.01234618,0.000707075,kgCH4/gallon
diesel,central,business_as_usual,population_shift,2025,455572655,gallon,1.731,9.6492,kgCO2/gallon,0.01381206,0.001050912,kgCH4/gallon
