technology,region,energy_system_scenario,freight_demand_scenario,year,number_of_charging_stations,cost_per_station ($),track_mile (mi),rail_track_cost ($/mi),infrastructure_O&M_cost ($/year)
diesel,north_east,business_as_usual,business_as_usual,2025,54,460833.7237,12934,1500000,455000000
diesel,middle_atlantic,business_as_usual,business_as_usual,2025,55,460833.7237,16458,1500000,455000000
diesel,south_east,business_as_usual,business_as_usual,2025,56,460833.7237,17089,1500000,455000000
diesel,north_central,business_as_usual,business_as_usual,2025,50,460833.7237,13999,1500000,455000000
diesel,central,business_as_usual,business_as_usual,2025,51,460833.7237,15298,1500000,455000000
diesel,texas,business_as_usual,business_as_usual,2025,56,460833.7237,15440,1500000,455000000
diesel,north_west,business_as_usual,business_as_usual,2025,54,460833.7237,18175,1500000,455000000
diesel,south_west,business_as_usual,business_as_usual,2025,43,460833.7237,18333,1500000,455000000
diesel,california,business_as_usual,business_as_usual,2025,52,460833.7237,15016,1500000,455000000
diesel,north_east,business_as_usual,agricultual_production_shift,2025,44,460833.7237,13209,1500000,455000000
diesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,54,460833.7237,17034,1500000,455000000
diesel,south_east,business_as_usual,agricultual_production_shift,2025,43,460833.7237,15202,1500000,455000000
diesel,north_central,business_as_usual,agricultual_production_shift,2025,52,460833.7237,14167,1500000,455000000
diesel,central,business_as_usual,agricultual_production_shift,2025,54,460833.7237,13546,1500000,455000000
diesel,texas,business_as_usual,agricultual_production_shift,2025,52,460833.7237,17376,1500000,455000000
diesel,north_west,business_as_usual,agricultual_production_shift,2025,43,460833.7237,15249,1500000,455000000
diesel,south_west,business_as_usual,agricultual_production_shift,2025,51,460833.7237,17279,1500000,455000000
diesel,california,business_as_usual,agricultual_production_shift,2025,49,460833.7237,17258,1500000,455000000
diesel,north_east,business_as_usual,decrease_agricultual_production,2025,43,460833.7237,15396,1500000,455000000
diesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,38,460833.7237,13751,1500000,455000000
diesel,south_east,business_as_usual,decrease_agricultual_production,2025,46,460833.7237,17218,1500000,455000000
diesel,north_central,business_as_usual,decrease_agricultual_production,2025,55,460833.7237,15736,1500000,455000000
diesel,central,business_as_usual,decrease_agricultual_production,2025,48,460833.7237,14746,1500000,455000000
diesel,texas,business_as_usual,decrease_agricultual_production,2025,48,460833.7237,13033,1500000,455000000
diesel,north_west,business_as_usual,decrease_agricultual_production,2025,45,460833.7237,13944,1500000,455000000
diesel,south_west,business_as_usual,decrease_agricultual_production,2025,38,460833.7237,14083,1500000,455000000
diesel,california,business_as_usual,decrease_agricultual_production,2025,51,460833.7237,14809,1500000,455000000
diesel,north_east,business_as_usual,population_shift,2025,54,460833.7237,17025,1500000,455000000
diesel,middle_atlantic,business_as_usual,population_shift,2025,54,460833.7237,17207,1500000,455000000
diesel,south_east,business_as_usual,population_shift,2025,41,460833.7237,12578,1500000,455000000
diesel,north_central,business_as_usual,population_shift,2025,42,460833.7237,18482,1500000,455000000
diesel,central,business_as_usual,population_shift,2025,56,460833.7237,14507,1500000,455000000
diesel,texas,business_as_usual,population_shift,2025,45,460833.7237,18455,1500000,455000000
diesel,north_west,business_as_usual,population_shift,2025,41,460833.7237,17788,1500000,455000000
diesel,south_west,business_as_usual,population_shift,2025,46,460833.7237,14668,1500000,455000000
diesel,california,business_as_usual,population_shift,2025,40,460833.7237,17572,1500000,455000000
diesel,north_east,business_as_usual,increase_maritime,2025,56,460833.7237,13050,1500000,455000000
diesel,middle_atlantic,business_as_usual,increase_maritime,2025,46,460833.7237,16600,1500000,455000000
diesel,south_east,business_as_usual,increase_maritime,2025,56,460833.7237,14680,1500000,455000000
diesel,north_central,business_as_usual,increase_maritime,2025,50,460833.7237,18126,1500000,455000000
diesel,central,business_as_usual,increase_maritime,2025,40,460833.7237,13103,1500000,455000000
diesel,texas,business_as_usual,increase_maritime,2025,43,460833.7237,12999,1500000,455000000
diesel,north_west,business_as_usual,increase_maritime,2025,55,460833.7237,17559,1500000,455000000
diesel,south_west,business_as_usual,increase_maritime,2025,52,460833.7237,18044,1500000,455000000
diesel,california,business_as_usual,increase_maritime,2025,50,460833.7237,13410,1500000,455000000
diesel,north_east,50%_reduction_2050,business_as_usual,2025,45,460833.7237,15733,1500000,455000000
diesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,46,460833.7237,14488,1500000,455000000
diesel,south_east,50%_reduction_2050,business_as_usual,2025,44,460833.7237,14380,1500000,455000000
diesel,north_central,50%_reduction_2050,business_as_usual,2025,42,460833.7237,13494,1500000,455000000
diesel,central,50%_reduction_2050,business_as_usual,2025,56,460833.7237,13839,1500000,455000000
diesel,texas,50%_reduction_2050,business_as_usual,2025,53,460833.7237,15532,1500000,455000000
diesel,north_west,50%_reduction_2050,business_as_usual,2025,56,460833.7237,17069,1500000,455000000
diesel,south_west,50%_reduction_2050,business_as_usual,2025,43,460833.7237,16634,1500000,455000000
diesel,california,50%_reduction_2050,business_as_usual,2025,56,460833.7237,15797,1500000,455000000
diesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,38,460833.7237,15560,1500000,455000000
diesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,51,460833.7237,13555,1500000,455000000
diesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,41,460833.7237,15869,1500000,455000000
