technology,region,energy_system_scenario,freight_demand_scenario,year,energy_price,energy_price_unit
diesel,north_east,business_as_usual,business_as_usual,2025,3.35,$/gallon
diesel,middle_atlantic,business_as_usual,business_as_usual,2025,2.91,$/gallon
diesel,south_east,business_as_usual,business_as_usual,2025,3.32,$/gallon
diesel,north_central,business_as_usual,business_as_usual,2025,4.17,$/gallon
diesel,central,business_as_usual,business_as_usual,2025,3.06,$/gallon
diesel,texas,business_as_usual,business_as_usual,2025,3.14,$/gallon
diesel,north_west,business_as_usual,business_as_usual,2025,2.92,$/gallon
diesel,south_west,business_as_usual,business_as_usual,2025,2.98,$/gallon
diesel,california,business_as_usual,business_as_usual,2025,2.93,$/gallon
diesel,north_east,business_as_usual,agricultual_production_shift,2025,3.61,$/gallon
diesel,middle_atlantic,business_as_usual,agricultual_production_shift,2025,3.59,$/gallon
diesel,south_east,business_as_usual,agricultual_production_shift,2025,3.5,$/gallon
diesel,north_central,business_as_usual,agricultual_production_shift,2025,4.11,$/gallon
diesel,central,business_as_usual,agricultual_production_shift,2025,3.4,$/gallon
diesel,texas,business_as_usual,agricultual_production_shift,2025,3.26,$/gallon
diesel,north_west,business_as_usual,agricultual_production_shift,2025,4.01,$/gallon
diesel,south_west,business_as_usual,agricultual_production_shift,2025,3.4,$/gallon
diesel,california,business_as_usual,agricultual_production_shift,2025,3.69,$/gallon
diesel,north_east,business_as_usual,decrease_agricultual_production,2025,3.66,$/gallon
diesel,middle_atlantic,business_as_usual,decrease_agricultual_production,2025,3.6,$/gallon
diesel,south_east,business_as_usual,decrease_agricultual_production,2025,3.59,$/gallon
diesel,north_central,business_as_usual,decrease_agricultual_production,2025,3.82,$/gallon
diesel,central,business_as_usual,decrease_agricultual_production,2025,3.92,$/gallon
diesel,texas,business_as_usual,decrease_agricultual_production,2025,2.81,$/gallon
diesel,north_west,business_as_usual,decrease_agricultual_production,2025,3.61,$/gallon
diesel,south_west,business_as_usual,decrease_agricultual_production,2025,3.61,$/gallon
diesel,california,business_as_usual,decrease_agricultual_production,2025,3.49,$/gallon
diesel,north_east,business_as_usual,population_shift,2025,3.79,$/gallon
diesel,middle_atlantic,business_as_usual,population_shift,2025,3.81,$/gallon
diesel,south_east,business_as_usual,population_shift,2025,2.9,$/gallon
diesel,north_central,business_as_usual,population_shift,2025,3.79,$/gallon
diesel,central,business_as_usual,population_shift,2025,2.99,$/gallon
diesel,texas,business_as_usual,population_shift,2025,3.44,$/gallon
diesel,north_west,business_as_usual,population_shift,2025,3.9,$/gallon
diesel,south_west,business_as_usual,population_shift,2025,2.83,$/gallon
diesel,california,business_as_usual,population_shift,2025,4.06,$/gallon
diesel,north_east,business_as_usual,increase_maritime,2025,3.13,$/gallon
diesel,middle_atlantic,business_as_usual,increase_maritime,2025,3.64,$/gallon
diesel,south_east,business_as_usual,increase_maritime,2025,2.84,$/gallon
diesel,north_central,business_as_usual,increase_maritime,2025,3.56,$/gallon
diesel,central,business_as_usual,increase_maritime,2025,4.07,$/gallon
diesel,texas,business_as_usual,increase_maritime,2025,3.7,$/gallon
diesel,north_west,business_as_usual,increase_maritime,2025,3.09,$/gallon
diesel,south_west,business_as_usual,increase_maritime,2025,3.88,$/gallon
diesel,california,business_as_usual,increase_maritime,2025,3.14,$/gallon
diesel,north_east,50%_reduction_2050,business_as_usual,2025,3.74,$/gallon
diesel,middle_atlantic,50%_reduction_2050,business_as_usual,2025,2.92,$/gallon
diesel,south_east,50%_reduction_2050,business_as_usual,2025,3.07,$/gallon
diesel,north_central,50%_reduction_2050,business_as_usual,2025,3.69,$/gallon
diesel,central,50%_reduction_2050,business_as_usual,2025,3.5,$/gallon
diesel,texas,50%_reduction_2050,business_as_usual,2025,3.58,$/gallon
diesel,north_west,50%_reduction_2050,business_as_usual,2025,3.57,$/gallon
diesel,south_west,50%_reduction_2050,business_as_usual,2025,3.39,$/gallon
diesel,california,50%_reduction_2050,business_as_usual,2025,2.97,$/gallon
diesel,north_east,50%_reduction_2050,agricultual_production_shift,2025,4.11,$/gallon
diesel,middle_atlantic,50%_reduction_2050,agricultual_production_shift,2025,3.12,$/gallon
diesel,south_east,50%_reduction_2050,agricultual_production_shift,2025,3.54,$/gallon
diesel,north_central,50%_reduction_2050,agricultual_production_shift,2025,2.88,$/gallon
diesel,central,50%_reduction_2050,agricultual_production_shift,2025,3.65,$/gallon
diesel,texas,50%_reduction_2050,agricultual_production_shift,2025,3.25,$/gallon
diesel,north_west,50%_reduction_2050,agricultual_production_shift,2025,3.81,$/gallon
diesel,south_west,50%_reduction_2050,agricultual_production_shift,2025,3.24,$/gallon
diesel,california,50%_reduction_2050,agricultual_production_shift,2025,3.43,$/gallon
diesel,north_east,50%_reduction_2050,decrease_agricultual_production,2025,3.68,$/gallon
diesel,middle_atlantic,50%_reduction_2050,decrease_agricultual_production,2025,3.65,$/gallon
diesel,south_east,50%_reduction_2050,decrease_agricultual_production,2025,3.23,$/gallon
diesel,north_central,50%_reduction_2050,decrease_agricultual_production,2025,4.03,$/gallon
diesel,central,50%_reduction_2050,decrease_agricultual_production,2025,3.92,$/gallon
diesel,texas,50%_reduction_2050,decrease_agricultual_production,2025,3.51,$/gallon
diesel,north_west,50%_reduction_2050,decrease_agricultual_production,2025,3.24,$/gallon
diesel,south_west,50%_reduction_2050,decrease_agricultual_production,2025,3.14,$/gallon
diesel,california,50%_reduction_2050,decrease_agricultual_production,2025,3.26,$/gallon
diesel,north_east,50%_reduction_2050,population_shift,2025,3.1,$/gallon
diesel,middle_atlantic,50%_reduction_2050,population_shift,2025,4.18,$/gallon
diesel,south_east,50%_reduction_2050,population_shift,2025,3.96,$/gallon
diesel,north_central,50%_reduction_2050,population_shift,2025,3.54,$/gallon
diesel,central,50%_reduction_2050,population_shift,2025,4.05,$/gallon
diesel,texas,50%_reduction_2050,population_shift,2025,3.93,$/gallon
diesel,north_west,50%_reduction_2050,population_shift,2025,3.84,$/gallon
diesel,south_west,50%_reduction_2050,population_shift,2025,3.62,$/gallon
diesel,california,50%_reduction_2050,population_shift,2025,2.88,$/gallon
diesel,north_east,50%_reduction_2050,increase_maritime,2025,3.47,$/gallon
